AML_sample_name	Method	Precision	Recall	F1
AML_01_001	COMPASS	0.25	0.5	0.3333333333333333
AML_01_001	GATK	0.1666666666666666	0.5	0.24999999999999992
AML_01_001	Mutect2	0.0	0.0	0.0
AML_01_001	PHALCON	0.3333333333333333	0.5	0.4
AML_02_001	COMPASS	0.0	0.0	0.0
AML_02_001	GATK	0.0	0.0	0.0
AML_02_001	Mutect2	0.75	0.5	0.6
AML_02_001	PHALCON	0.6666666666666666	0.3333333333333333	0.4444444444444444
AML_03_001	COMPASS	0.2	0.3333333333333333	0.25
AML_03_001	GATK	0.2	0.3333333333333333	0.25
AML_03_001	Mutect2	0.0	0.0	0.0
AML_03_001	PHALCON	0.5	0.3333333333333333	0.4
AML_04_001	COMPASS	0.125	0.1666666666666666	0.14285714285714282
AML_04_001	GATK	0.0909090909090909	0.1666666666666666	0.11764705882352938
AML_04_001	Mutect2	1.0	0.1666666666666666	0.28571428571428564
AML_04_001	PHALCON	0.375	0.5	0.42857142857142855
AML_05_001	COMPASS	0.0416666666666666	0.2	0.06896551724137923
AML_05_001	GATK	0.081081081081081	0.6	0.14285714285714274
AML_05_001	Mutect2	0.0666666666666666	0.4	0.11428571428571419
AML_05_001	PHALCON	0.5	0.4	0.4444444444444445
AML_06_001	COMPASS	1.0	0.6666666666666666	0.8
AML_06_001	GATK	0.6666666666666666	0.6666666666666666	0.6666666666666666
AML_06_001	Mutect2	0.5	0.3333333333333333	0.4
AML_06_001	PHALCON	0.6666666666666666	0.6666666666666666	0.6666666666666666
AML_07_001	COMPASS	0.3333333333333333	0.5	0.4
AML_07_001	GATK	0.2	0.5	0.28571428571428575
AML_07_001	Mutect2	0.0	0.0	0.0
AML_07_001	PHALCON	0.6666666666666666	1.0	0.8
AML_08_001	COMPASS	0.0	0.0	0.0
AML_08_001	GATK	0.0	0.0	0.0
AML_08_001	Mutect2	0.6666666666666666	1.0	0.8
AML_08_001	PHALCON	0.3333333333333333	0.5	0.4
AML_10_001	COMPASS	0.0	0.0	0.0
AML_10_001	GATK	0.08	0.6666666666666666	0.14285714285714285
AML_10_001	Mutect2	0.1818181818181818	0.6666666666666666	0.2857142857142857
AML_10_001	PHALCON	0.6666666666666666	0.6666666666666666	0.6666666666666666
AML_11_001	COMPASS	0.0	0.0	0.0
AML_11_001	GATK	0.0909090909090909	0.5	0.15384615384615383
AML_11_001	Mutect2	0.1111111111111111	0.25	0.15384615384615383
AML_11_001	PHALCON	0.5	0.5	0.5
AML_12_001	COMPASS	0.6666666666666666	0.4	0.5
AML_12_001	GATK	0.5	0.4	0.4444444444444445
AML_12_001	Mutect2	0.0	0.0	0.0
AML_12_001	PHALCON	0.5	0.6	0.5454545454545454
AML_13_001	COMPASS	0.0	0.0	0.0
AML_13_001	GATK	0.0	0.0	0.0
AML_13_001	Mutect2	0.5	0.5	0.5
AML_13_001	PHALCON	0.4	1.0	0.5714285714285715
AML_14_001	COMPASS	0.8571428571428571	0.6	0.7058823529411764
AML_14_001	GATK	0.75	0.6	0.6666666666666665
AML_14_001	Mutect2	1.0	0.1	0.18181818181818182
AML_14_001	PHALCON	0.8571428571428571	0.6	0.7058823529411764
AML_15_001	COMPASS	0.5	0.6666666666666666	0.5714285714285715
AML_15_001	GATK	0.3333333333333333	0.6666666666666666	0.4444444444444444
AML_15_001	Mutect2	0.3333333333333333	0.3333333333333333	0.3333333333333333
AML_15_001	PHALCON	1.0	0.6666666666666666	0.8
AML_16_001	COMPASS	0.0	0.0	0.0
AML_16_001	GATK	0.0	0.0	0.0
AML_16_001	Mutect2	0.0	0.0	0.0
AML_16_001	PHALCON	0.0	0.0	0.0
AML_17_001	COMPASS	0.5	0.6666666666666666	0.5714285714285715
AML_17_001	GATK	0.2857142857142857	0.6666666666666666	0.4
AML_17_001	Mutect2	0.25	0.3333333333333333	0.28571428571428575
AML_17_001	PHALCON	0.5	0.6666666666666666	0.5714285714285715
AML_18_001	COMPASS	0.5	0.3333333333333333	0.4
AML_18_001	GATK	0.4	0.3333333333333333	0.3636363636363636
AML_18_001	Mutect2	1.0	0.2	0.33333333333333337
AML_18_001	PHALCON	0.6666666666666666	0.3333333333333333	0.4444444444444444
AML_19_001	COMPASS	0.25	0.5	0.3333333333333333
AML_19_001	GATK	0.2	0.5	0.28571428571428575
AML_19_001	Mutect2	1.0	0.5	0.6666666666666666
AML_19_001	PHALCON	0.3333333333333333	0.5	0.4
AML_20_001	COMPASS	0.0	0.0	0.0
AML_20_001	GATK	0.0	0.0	0.0
AML_20_001	Mutect2	0.0	0.0	0.0
AML_20_001	PHALCON	0.0	0.0	0.0
AML_21_001	COMPASS	0.0	0.0	0.0
AML_21_001	GATK	0.0	0.0	0.0
AML_21_001	Mutect2	0.0	0.0	0.0
AML_21_001	PHALCON	0.0	0.0	0.0
AML_22_001	COMPASS	0.2222222222222222	0.2857142857142857	0.25
AML_22_001	GATK	0.1818181818181818	0.2857142857142857	0.2222222222222222
AML_22_001	Mutect2	1.0	0.1428571428571428	0.2499999999999999
AML_22_001	PHALCON	0.1666666666666666	0.1428571428571428	0.15384615384615377
AML_23_001	COMPASS	1.0	0.75	0.8571428571428571
AML_23_001	GATK	0.6	0.75	0.6666666666666665
AML_23_001	Mutect2	0.5	0.25	0.3333333333333333
AML_23_001	PHALCON	1.0	0.75	0.8571428571428571
AML_24_001	COMPASS	0.0	0.0	0.0
AML_24_001	GATK	0.0	0.0	0.0
AML_24_001	Mutect2	0.0	0.0	0.0
AML_24_001	PHALCON	0.0	0.0	0.0
AML_25_001	COMPASS	0.2	0.2	0.20000000000000004
AML_25_001	GATK	0.125	0.2	0.15384615384615385
AML_25_001	Mutect2	0.5	0.75	0.6
AML_25_001	PHALCON	0.25	0.2	0.22222222222222224
AML_26_001	COMPASS	0.625	0.8333333333333334	0.7142857142857143
AML_26_001	GATK	0.625	0.8333333333333334	0.7142857142857143
AML_26_001	Mutect2	0.3333333333333333	0.1666666666666666	0.22222222222222218
AML_26_001	PHALCON	1.0	0.8333333333333334	0.9090909090909091
AML_27_001	COMPASS	0.6666666666666666	0.2857142857142857	0.4
AML_27_001	GATK	0.5	0.2857142857142857	0.36363636363636365
AML_27_001	Mutect2	0.5	0.1666666666666666	0.24999999999999992
AML_27_001	PHALCON	0.6666666666666666	0.2857142857142857	0.4
AML_28_001	COMPASS	0.0	0.0	0.0
AML_28_001	GATK	0.1666666666666666	0.3333333333333333	0.22222222222222218
AML_28_001	Mutect2	0.5	0.3333333333333333	0.4
AML_28_001	PHALCON	0.6666666666666666	0.6666666666666666	0.6666666666666666
AML_29_001	COMPASS	0.0	0.0	0.0
AML_29_001	GATK	0.25	0.2	0.22222222222222224
AML_29_001	Mutect2	0.5	0.3333333333333333	0.4
AML_29_001	PHALCON	1.0	0.4	0.5714285714285715
AML_30_001	COMPASS	0.5	0.3333333333333333	0.4
AML_30_001	GATK	0.3333333333333333	0.3333333333333333	0.3333333333333333
AML_30_001	Mutect2	0.0	0.0	0.0
AML_30_001	PHALCON	0.8	0.6666666666666666	0.7272727272727272
AML_31_001	COMPASS	0.25	0.25	0.25
AML_31_001	GATK	0.1428571428571428	0.25	0.18181818181818177
AML_31_001	Mutect2	0.0	0.0	0.0
AML_31_001	PHALCON	0.5	0.25	0.3333333333333333
AML_32_001	COMPASS	0.2	0.5	0.28571428571428575
AML_32_001	GATK	0.1428571428571428	0.5	0.22222222222222215
AML_32_001	Mutect2	0.6666666666666666	1.0	0.8
AML_32_001	PHALCON	0.5	0.5	0.5
AML_33_001	COMPASS	0.0	0.0	0.0
AML_33_001	GATK	0.0	0.0	0.0
AML_33_001	Mutect2	1.0	0.5	0.6666666666666666
AML_33_001	PHALCON	1.0	0.25	0.4
AML_34_001	COMPASS	0.3333333333333333	0.25	0.28571428571428575
AML_34_001	GATK	0.3333333333333333	0.25	0.28571428571428575
AML_34_001	Mutect2	0.0	0.0	0.0
AML_34_001	PHALCON	0.5	0.25	0.3333333333333333
AML_35_001	COMPASS	0.2	0.25	0.22222222222222224
AML_35_001	GATK	0.1666666666666666	0.25	0.19999999999999993
AML_35_001	Mutect2	0.0	0.0	0.0
AML_35_001	PHALCON	0.5	0.5	0.5
AML_36_001	COMPASS	0.0	0.0	0.0
AML_36_001	GATK	0.0	0.0	0.0
AML_36_001	Mutect2	0.0	0.0	0.0
AML_36_001	PHALCON	0.0	0.0	0.0
AML_37_001	COMPASS	0.5	1.0	0.6666666666666666
AML_37_001	GATK	0.5	1.0	0.6666666666666666
AML_37_001	Mutect2	0.3333333333333333	0.5	0.4
AML_37_001	PHALCON	0.5	1.0	0.6666666666666666
AML_38_001	COMPASS	0.6666666666666666	0.6	0.631578947368421
AML_38_001	GATK	0.5454545454545454	0.6	0.5714285714285713
AML_38_001	Mutect2	1.0	0.4	0.5714285714285715
AML_38_001	PHALCON	0.7777777777777778	0.7	0.7368421052631577
AML_39_001	COMPASS	0.1666666666666666	0.25	0.19999999999999993
AML_39_001	GATK	0.125	0.25	0.16666666666666666
AML_39_001	Mutect2	1.0	0.5	0.6666666666666666
AML_39_001	PHALCON	0.3333333333333333	0.25	0.28571428571428575
AML_40_001	COMPASS	0.0	0.0	0.0
AML_40_001	GATK	0.0	0.0	0.0
