AML name	Precision	Recall
AML_68_001	0.75	0.6
AML_28_001	0.6666666666666666	0.6666666666666666
AML_92_001	0.8571428571428571	0.75
AML_95_001	0.0	0
AML_31_001	0.5	0.25
AML_08_001	0.3333333333333333	0.5
AML_77_001	0.8571428571428571	0.8571428571428571
AML_35_001	0.5	0.5
AML_02_001	0.6666666666666666	0.3333333333333333
AML_44_001	0.3333333333333333	0.6666666666666666
AML_11_001	0.5	0.5
AML_40_001	0.0	0.0
AML_70_001	0.25	0.3333333333333333
AML_90_001	1.0	0.6
AML_91_001	0.7	0.7777777777777778
AML_80_001	0.75	1.0
AML_94_001	0.8	1.0
AML_48_001	0.5	0.3333333333333333
AML_01_001	0.3333333333333333	0.5
AML_05_001	0.5	0.4
AML_32_001	0.5	0.5
AML_15_001	1.0	0.6666666666666666
AML_84_001	0.5	0.6
AML_88_001	0.3333333333333333	0.3333333333333333
AML_27_001	0.6666666666666666	0.2857142857142857
AML_36_001	0.0	0.0
AML_83_001	0.5	1.0
AML_43_001	0.6666666666666666	0.4
AML_74_001	0.3333333333333333	0.2
AML_67_001	0.8461538461538461	0.8461538461538461
AML_33_001	1.0	0.25
AML_52_001	0.5	0.3333333333333333
AML_56_001	0.0	0.0
AML_18_001	0.6666666666666666	0.3333333333333333
AML_25_001	0.25	0.2
AML_63_001	0.6666666666666666	0.6666666666666666
AML_64_001	1.0	0.16666666666666666
AML_54_001	0.0	0.0
AML_41_001	0.75	0.6
AML_50_001	0.0	0.0
AML_34_001	0.5	0.25
AML_24_001	0.0	0.0
AML_98_001	0.6666666666666666	0.5
AML_19_001	0.3333333333333333	0.5
AML_03_001	0.5	0.3333333333333333
AML_73_001	0.6666666666666666	0.3333333333333333
AML_29_001	1.0	0.4
AML_07_001	0.6666666666666666	1.0
AML_12_001	0.5	0.6
AML_60_001	0.0	0.0
AML_93_001	0.3333333333333333	0.5
AML_72_001	0.6666666666666666	1.0
AML_22_001	0.16666666666666666	0.14285714285714285
AML_87_001	0.2857142857142857	0.6666666666666666
AML_82_001	0.8333333333333334	1.0
AML_20_001	0.0	0.0
AML_75_001	0.6	0.2727272727272727
AML_30_001	0.8	0.6666666666666666
AML_86_001	0.6	0.75
AML_53_001	0.3333333333333333	0.2
AML_14_001	0.8571428571428571	0.6
AML_57_001	1.0	0.25
AML_16_001	0.0	0.0
AML_46_001	0.5	1.0
AML_99_001	0.4	0.4
AML_45_001	0.75	0.6
AML_62_001	1.0	0.75
AML_06_001	0.6666666666666666	0.6666666666666666
AML_10_001	0.6666666666666666	0.6666666666666666
AML_65_001	0.0	0.0
AML_17_001	0.5	0.6666666666666666
AML_04_001	0.375	0.5
AML_21_001	0.0	0.0
AML_42_001	0.5	0.6666666666666666
AML_37_001	0.5	1.0
AML_81_001	0.0	0.0
AML_71_001	0.75	0.75
AML_51_001	0.6	0.6
AML_76_001	1.0	0.3333333333333333
AML_47_001	0.6666666666666666	1.0
AML_61_001	1.0	0.8
AML_58_001	0.5	0.14285714285714285
AML_49_001	0.6666666666666666	0.6666666666666666
AML_13_001	0.4	1.0
AML_39_001	0.3333333333333333	0.25
AML_55_001	0.16666666666666666	0.16666666666666666
AML_26_001	1.0	0.8333333333333334
AML_38_001	0.7777777777777778	0.7
AML_23_001	1.0	0.75
AML_69_001	0.6666666666666666	0.5
